Title,location,Price
"
        3bdrm House in Ab Majesty Property, Spintex for Rent
    ","
            Spintex
        ","
        4,000
    "
"
        4 Bedroom House At Ashaley Botwe Littil Roses For Rent
    ","
            East Legon
        ","
        3,745
    "
"
        3bdrm House in Spintex Coastal for Rent
    ","
            Spintex
        ","
        3,500
    "
"
        2bdrm Shared Apartment in Adjei Kojo, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        800
    "
"
        1bdrm Apartment in Hamza Estates, Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        1,700
    "
"
        5 Bedrooms House for Rent in Excel-Fame Consult, East Legon
    ","
            East Legon
        ","
        14,500
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        4 Bedroom House at Airport Renting
    ","
            Airport Residential Area
        ","
        18,000
    "
"
        Executive 4 Bedroom House to Let at East Legon Hills
    ","
            East Legon
        ","
        4,000
    "
"
        2bdrm Apartment in Lake Side Estate for Rent
    ","
            Ashaley Botwe, Lake Side Estate
        ","
        2,000
    "
"
        2bdrm Townhouse in Tseaddo, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        5,000
    "
"
        2bdrm Apartment in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        1,200
    "
"
        4 Bedroom House For Rent At East Airport (Gated Community)
    ","
            Airport Residential Area
        ","
        5,600
    "
"
        3bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        2,000
    "
"
        2bdrm Apartment in Adginganor, East Legon for Rent
    ","
            East Legon
        ","
        6,170
    "
"
        3bdrm Apartment in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,500
    "
"
        4bdrm House in North Legon, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        14,800
    "
"
        4bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        4bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        13,500
    "
"
        2bdrm Apartment in Ablekuma for Rent
    ","
            Ablekuma
        ","
        1,000
    "
"
        3bdrm Townhouse/Terrace in East Legon for Rent
    ","
            East Legon
        ","
        4,900
    "
"
        3bdrm Apartment in Shiashi, South Shiashie for Rent
    ","
            South Shiashie
        ","
        6,300
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        19,000
    "
"
        Furnished 5bdrm Mansion in Delight Agency, Cantonments for Rent
    ","
            Cantonments
        ","
        29,000
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        15,000
    "
"
        Executive 2 Bedroom Apartment for Rent at Community 25 HFC
    ","
            Ga East Municipal
        ","
        3,500
    "
"
        Four Bedrooms House for Rent
    ","
            East Legon
        ","
        7,600
    "
"
        4bdrm Mansion in Delight Agency, American House for Rent
    ","
            East Legon, American House
        ","
        11,000
    "
"
        Newly Built Duplex 4 Bedrooms House for Rent at East Airport
    ","
            Airport Residential Area
        ","
        11,400
    "
"
        Furnished 3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        27,000
    "
"
        Furnished 3bdrm Block of Flats in Ambassadorial, East Legon for Rent
    ","
            East Legon
        ","
        11,600
    "
"
        Exquisite and Modern 4 Bedroom House for Rent at Cantoment
    ","
            Cantonments
        ","
        26,100
    "
"
        4bdrm House in Victor Adzorlolo, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        15,000
    "
"
        4bdrm House in Ntac, East Legon for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        1bdrm Apartment in Hamza Estates, School Junction for Rent
    ","
            Ashaley Botwe, Ashaley Botwe School Junction
        ","
        650
    "
"
        EXECUTIVE 5 BEDROOM HUS  WITH POOL FOR RENT AT TRASACO FOR 5500$
    ","
            Agbogbloshie
        ","
        26,400
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        2bdrm Apartment in East Legon Hills for Rent
    ","
            East Legon
        ","
        2,300
    "
"
        4 Bedrooms Townhouse for Rent in Green, East Legon
    ","
            East Legon
        ","
        6,000
    "
"
        Ultra Morden 5 Bedroom House At Trasacco
    ","
            East Legon
        ","
        33,600
    "
"
        2bdrm Apartment in Sakumono Estate, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        1,600
    "
"
        1bdrm Apartment in Ben Properties, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        800
    "
"
        5bdrm Duplex in Sarkumonor Estate, Spintex for Rent
    ","
            Spintex
        ","
        5,000
    "
"
        3bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        1,200
    "
"
        4bdrm House in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        4,940
    "
"
        2bdrm Apartment in Spintex for Rent
    ","
            Spintex
        ","
        1,700
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        3,500
    "
"
        Furnished 3bdrm House in Frimps Global, East Legon for Rent
    ","
            East Legon
        ","
        14,000
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        3,650
    "
"
        4bdrm House in Green, East Legon for Rent
    ","
            East Legon
        ","
        8,000
    "
"
        4bdrm House in American House, East Legon for Rent
    ","
            East Legon
        ","
        16,697
    "
"
        Furnished 2bdrm Block of Flats in Koklobitey Beach, Accra Metropolitan
    ","
            Accra Metropolitan
        ","
        450
    "
"
        3bdrm House in Pokuase for Rent
    ","
            Pokuase
        ","
        2,500
    "
"
        3bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        2,700
    "
"
        Ultra Modern 5 Bedroom Townhouse at East Legon
    ","
            East Legon
        ","
        19,600
    "
"
        3bdrm Apartment in Agbogba, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,200
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        8,000
    "
"
        2bdrm Apartment in Taifa, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,500
    "
"
        5bdrm Duplex in Ddl Properties, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        9,450
    "
"
        2bdrm Apartment in Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        6,480
    "
"
        2bdrm Apartment in East Legon for rent
    ","
            East Legon
        ","
        1,800
    "
"
        2bdrm Apartment in East Legon, Trassaco for Rent
    ","
            East Legon
        ","
        3,500
    "
"
        3bdrm Apartment in Ben Properties, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,200
    "
"
        Executive 4 Bedroom House to Let at West Trasacco
    ","
            East Legon
        ","
        6,000
    "
"
        3bdrm Apartment in Fair Haven, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        4,000
    "
"
        4bdrm House in Max Properties, East Legon for Rent
    ","
            East Legon
        ","
        7,000
    "
"
        4bdrm House in East Legon a C for Rent
    ","
            East Legon, A&C Mall Area
        ","
        30,000
    "
"
        2bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        1,200
    "
"
        1bdrm Apartment in Scc Inside, Old Barrier for Rent
    ","
            Weija, Old Barrier / Weija
        ","
        950
    "
"
        1bdrm Apartment in Om, East Legon for Rent
    ","
            East Legon
        ","
        2,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        14,500
    "
"
        Furnished 4bdrm Maisonette in Trassaco, East Legon for Rent
    ","
            East Legon
        ","
        36,000
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        Newly Built 4 Bedrooms House for Rental at East Legon Hills
    ","
            East Legon
        ","
        3,500
    "
"
        5bdrm Duplex in Cantonments for Rent
    ","
            Cantonments
        ","
        25,650
    "
"
        5bdrm Duplex in Delight Agency, a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        15,000
    "
"
        2bdrm Apartment in Helena Estate Agency, Ga West Municipal for Rent
    ","
            Ga West Municipal
        ","
        2,000
    "
"
        5bdrm Townhouse in North Legon, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        6,000
    "
"
        2bdrm House in Community 18, Spintex for Rent
    ","
            Spintex
        ","
        1,500
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        7,500
    "
"
        EXECUTIVE 4 BEDRMS HOUSE FOR RENT AT EAST LEGON AMERICAN HOUSE 1400$
    ","
            Agbogbloshie
        ","
        7,000
    "
"
        An Executive 4 Bedroom at Cantoments
    ","
            Cantonments
        ","
        20,300
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        7,000
    "
"
        Furnished 1bdrm Apartment in Alliance Properties, East Legon for Rent
    ","
            East Legon
        ","
        7,340
    "
"
        3bdrm House in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        7,000
    "
"
        4bdrm Mansion in Excel-Fame Consult, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        36,000
    "
"
        4bdrm House in Oyibi for Rent
    ","
            Oyibi
        ","
        1,600
    "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        14,100
    "
"
        2bdrm Apartment in Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        2,500
    "
"
        4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        8,000
    "
"
        Newly Built 4 Bedrooms With 2 Complete Outhouse For Rental
    ","
            Agbogbloshie
        ","
        5,760
    "
"
        6bdrm Mansion in Excel-Fame Consult, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        30,000
    "
"
        6bdrm House in Seekers Realty, Cantonments for Rent
    ","
            Cantonments
        ","
        21,350
    "
"
        3bdrm Duplex in Propertice Affairs, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        3,500
    "
"
        3bdrm Townhouse in Airport Residential for Rent
    ","
            Airport Residential Area
        ","
        14,448
    "
"
        2bdrm Apartment in Lapaz Tabora Alaji for Rent
    ","
            Lapaz
        ","
        1,500
    "
"
        3bdrm House in Alliance Properties, East Legon for Rent
    ","
            East Legon
        ","
        9,230
    "
"
        4 Bedroom & 1BQ Pool House 4 Rent, Mariville Estate, Spintex
    ","
            Ledzokuku-Krowor
        ","
        14,750
    "
"
        3bdrm Apartment in Airport Residential for Rent
    ","
            Airport Residential Area
        ","
        8,668
    "
"
        4bdrm Duplex in Delight Agency., Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        19,000
    "
"
        Executive Newly Six Bedroom for Rent
    ","
            East Legon
        ","
        14,500
    "
"
        Executive 4 Bedroom House to Let at East Legon Trasacco
    ","
            East Legon
        ","
        7,000
    "
"
        EXECUTIVE 4 BEDROOMS FOR RENTALS AT EAST LEGON HILLS
    ","
            Agbogbloshie
        ","
        3,000
    "
"
        3bdrm House in Spintex Manet for Rent
    ","
            Spintex
        ","
        6,000
    "
"
        4bdrm House in Trasacco, East Legon for Rent
    ","
            East Legon
        ","
        5,117
    "
"
        5bdrm House in Tse Addo, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        11,829
    "
"
        3bdrm Apartment in Pj Consult, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,300
    "
"
        3bdrm House in Coaster Estate, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        1,200
    "
"
        Furnished 3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        22,500
    "
"
        Executive 4 Bedroom House For Rent At Trasaco For 2500 Cedis
    ","
            Agbogbloshie
        ","
        2,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        17,723
    "
"
        Executive Newly Built 4 Bed House to Let at Ajiringanor 69
    ","
            East Legon
        ","
        9,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        20,625
    "
"
        3bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        1,500
    "
"
        2bdrm Apartment in Pillar 2 for Rent
    ","
            Dome, Pillar 2
        ","
        1,500
    "
"
        2bdrm Apartment in Victory House, Kasoa for Rent
    ","
            Kasoa
        ","
        1,000
    "
"
        2bdrm Block of Flats in Fear Not, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,200
    "
"
        4bdrm House in Delight Agency, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        25,300
    "
"
        2bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        3,300
    "
"
        Furnished 3bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        15,045
    "
"
        4bdrm House in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,000
    "
"
        7bdrm Duplex in Ddlzabeth Properties, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,800
    "
"
        4bdrm House in East Legon a C Mall for Rent
    ","
            East Legon, A&C Mall Area
        ","
        15,000
    "
"
        4bdrm House in Nmai-Dzorn for Rent
    ","
            Ashaley Botwe, Nmai-Dzorn
        ","
        6,500
    "
"
        3bdrm Apartment in Mac Westage Real, American House for Rent
    ","
            East Legon, American House
        ","
        5,700
    "
"
        Furnished 2bdrm Apartment in Richmond Estate, Cantonments for Rent
    ","
            Cantonments
        ","
        17,500
    "
"
        2bdrm Apartment in Elaffhomesgh, New Town for Rent
    ","
            Ashaley Botwe, New Town / Ashaley Botwe
        ","
        2,700
    "
"
        1bdrm House in Mic Agency, Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        600
    "
"
        5bdrm House in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        6,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        16,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        3,500
    "
"
        Furnished 3bdrm Apartment in East Airport, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        9,860
    "
"
        Executive Newly Built 5 Bed With 1 B/C to Let at Botwe
    ","
            East Legon
        ","
        5,000
    "
"
        Furnished 3bdrm Apartment in Willows Court, Airport Residential Area
    ","
            Airport Residential Area
        ","
        15,000
    "
"
        5bdrm Duplex in Mac Westage Real, East Legon for Rent
    ","
            East Legon
        ","
        15,000
    "
"
        Executive Newly Built House For Rent At East Legon Hills
    ","
            East Legon
        ","
        2,500
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        14,500
    "
"
        4bdrm Duplex in School Junction, East Legon for Rent
    ","
            East Legon
        ","
        4,200
    "
"
        3bdrm Apartment in Propertice Affairs, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,500
    "
"
        2bdrm Apartment in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,400
    "
"
        5bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        5bdrm House in Ma Developments, Ofankor for Rent
    ","
            Ofankor
        ","
        3,000
    "
"
        Furnished 3bdrm Duplex in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        12,000
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        33,250
    "
"
        2bdrm Apartment in East Legon, American House for Rent
    ","
            East Legon, American House
        ","
        3,500
    "
"
        2bdrm House in Zik, Adenta for Rent
    ","
            Adenta
        ","
        2,500
    "
"
        3bdrm Apartment in Cantonments for Rent
    ","
            Cantonments
        ","
        17,000
    "
"
        5bdrm Duplex in Fastinas Real Estate, Airport Residential Area
    ","
            Airport Residential Area
        ","
        18,700
    "
"
        2bdrm Duplex in Fastinas Real Estate, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        1,300
    "
"
        3bdrm House in Fastinas Real Estate, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        2,700
    "
"
        Renovated 4bdrm Hse Wt Garden and BQ for Rent at East Legon
    ","
            East Legon
        ","
        11,600
    "
"
        2bdrm House in Kik, Adenta for Rent
    ","
            Adenta
        ","
        2,500
    "
"
        6bdrm House in East Legon Estate, a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        33,600
    "
"
        10 Bedrooms Mansion for Rent in M4J Property Agency,
    ","
            Airport Residential Area
        ","
        58,000
    "
"
        4bdrm House in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        8,500
    "
"
        2bdrm Apartment in Delight Agency., East Legon for Rent
    ","
            East Legon
        ","
        3,500
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        14,000
    "
"
        Executive Newly Built 4 Bedrooms House 1 BQ For Rentals
    ","
            Agbogbloshie
        ","
        7,050
    "
"
        3bdrm Apartment in Airport for Rent
    ","
            Airport Residential Area
        ","
        6,000
    "
"
        Furnished 3bdrm Apartment in North Ridge for Rent
    ","
            Ridge, North Ridge
        ","
        18,000
    "
"
        Furnished 2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        11,600
    "
"
        4bdrm House in Community 17-Lashibi, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        2,500
    "
"
        2bdrm Apartment in Pillar 2 for Rent
    ","
            Dome, Pillar 2
        ","
        2,000
    "
"
        Executive 4 Bedroom House For Rent At East Airport
    ","
            East Legon
        ","
        8,700
    "
"
        4bdrm Duplex in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        8,400
    "
"
        2bdrm Apartment in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,300
    "
"
        4bed Townhouse Cantonment
    ","
            Cantonments
        ","
        29,000
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        5,000
    "
"
        5bdrm Duplex in Trassaco Estate, East Legon for Rent
    ","
            East Legon
        ","
        13,481
    "
"
        2bdrm Apartment in Zebra Properties, Oyarifa for Rent
    ","
            Oyarifa
        ","
        1,600
    "
"
        4bdrm House in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        24,500
    "
"
        2bdrm Apartment in Tseaddo, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        3,600
    "
"
        Furnished 4bdrm Apartment in Airport Residential Area for rent
    ","
            Airport Residential Area
        ","
        22,700
    "
"
        5bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        5,000
    "
"
        3bdrm Apartment in Cantonment, US Embassy Area for Rent
    ","
            Cantonments, US Embassy Area
        ","
        11,779
    "
"
        Furnished 2bdrm Apartment for Rent
    ","
            Airport Residential Area
        ","
        17,400
    "
"
        2bdrm Apartment in Delight Agency, Tseaddo for Rent
    ","
            Teshie, Tseaddo
        ","
        4,300
    "
"
        Furnished 2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        8,000
    "
"
        3bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        4,000
    "
"
        2bdrm Apartment in Marvin Properties, Haatso for Rent
    ","
            Haatso
        ","
        2,500
    "
"
        2bdrm Apartment in Hamza Estates, American House for Rent
    ","
            East Legon, American House
        ","
        2,000
    "
"
        4bdrm House in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        26,000
    "
"
        4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        5,600
    "
"
        5 Bedrooms House for Rent in Green, East Legon
    ","
            East Legon
        ","
        17,300
    "
"
        5bdrm House in Airport Hills for Rent
    ","
            Airport Residential Area
        ","
        28,000
    "
"
        2bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        4bdrm Apartment in Darkuman Police for Rent
    ","
            Darkuman
        ","
        2,200
    "
"
        4bdrm Apartment in Phils Real Estates, Pokuase for Rent
    ","
            Pokuase
        ","
        2,700
    "
"
        EXECUTIVE 5 BEDROOM HUS 2 LIVING ROOMS, 2 KITCHEN FOR RENTALS
    ","
            Agbogbloshie
        ","
        8,460
    "
"
        3bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        Exquisite 4bdrm Mansion 4rent at East Legon Not Far From KFC
    ","
            East Legon
        ","
        20,300
    "
"
        2bdrm Apartment in Max Properties, East Legon for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        EXECUTIVE 5 BEDRM HUS WITH WITH SWIMMING POOL AND 2 BQ FOR RENTAL
    ","
            Agbogbloshie
        ","
        17,500
    "
"
        5bdrm Duplex in East Legon, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        14,500
    "
"
        2bdrm Apartment in Haatso for Rent
    ","
            Haatso
        ","
        2,000
    "
"
        4bdrm House in Rosgy Properties Ltd, East Legon for Rent
    ","
            East Legon
        ","
        9,880
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        3,500
    "
"
        Furnished 6bdrm Bedsitter in E a Properites, Sakora for Rent
    ","
            Adenta, Sakora
        ","
        6,000
    "
"
        1bdrm Apartment in Hall and Chamber, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        850
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        7,400
    "
"
        3bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        1,600
    "
"
        4bdrm Duplex in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        4,500
    "
"
        6bdrm House in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        74,408
    "
"
        12 Bedrooms Wit Air-condition And Inbuilt Wardrobe In Air Port 4,Rent
    ","
            Ledzokuku-Krowor
        ","
        57,320
    "
"
        Furnished 4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        3bdrm Apartment in Pillar 2, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,200
    "
"
        2bdrm Apartment in East Lagon for Rent
    ","
            East Legon
        ","
        3,000
    "
"
        EXECUTIVE 4 BEDRM HUS 3 OUTHUS AND SWIMMING POOL FOR RENTALS
    ","
            Agbogbloshie
        ","
        18,400
    "
"
        Newly Built 6 Bedroom House To Let At NMAI-DJORN
    ","
            East Legon
        ","
        11,400
    "
"
        3bdrm Apartment in East Legon Hills for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        2bdrm House in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        2,500
    "
"
        5bdrm Mansion in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        19,600
    "
"
        2bdrm Apartment in Max Properties, East Legon for Rent
    ","
            East Legon
        ","
        7,320
    "
"
        2bdrm Apartment in Seedovproperties, Spintex for Rent
    ","
            Spintex
        ","
        1,700
    "
"
        4bdrm House in East Legon, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        6,000
    "
"
        4bdrm House in East Legon Around, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        11,200
    "
"
        Furnished 4bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        7,500
    "
"
        3bdrm House in Amasaman, Ga West Municipal for Rent
    ","
            Ga West Municipal
        ","
        2,200
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        18,000
    "
"
        4bedroom House - Rent.
    ","
            Airport Residential Area
        ","
        11,400
    "
"
        2bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        1,000
    "
"
        4bdrm Townhouse in Cantonment, US Embassy Area for Rent
    ","
            Cantonments, US Embassy Area
        ","
        20,614
    "
"
        4bdrm Duplex in North Legon Abgobga, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        3,800
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        11,500
    "
"
        2bdrm Apartment in East Legon, American House for Rent
    ","
            East Legon, American House
        ","
        2,200
    "
"
        Furnished 3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        24,000
    "
"
        3bdrm Apartment in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,000
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        11,000
    "
"
        2bdrm House in Hfc Estate Area, for Rent
    ","
            Spintex
        ","
        1,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        15,000
    "
"
        Furnished 5bdrm Mansion for Rent
    ","
            Airport Residential Area
        ","
        27,000
    "
"
        2bdrm House in East Legon Trassaco, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,000
    "
"
        Furnished 3bdrm Townhouse/Terrace for Rent
    ","
            Accra Metropolitan
        ","
        20,000
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        7,550
    "
"
        Studio Apartment in Community 9, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        1,800
    "
"
        3bdrm Bungalow in Gilah Properties, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        2,200
    "
"
        Executive Furnished 4bdrm Townhouse for Rent at East Legon
    ","
            East Legon
        ","
        20,300
    "
"
        Newly Built 5 Bedrooms House With 2 BQ for Rentals at East Legon
    ","
            East Legon
        ","
        10,800
    "
"
        1bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        1,500
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        3bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        5,800
    "
"
        4bdrm House in Amazing Properties, East Legon for Rent
    ","
            East Legon
        ","
        6,750
    "
"
        Furnished 4bdrm House in Md Estate, American House for rent
    ","
            East Legon, American House
        ","
        19,000
    "
"
        Furnished 3bdrm Apartment in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        3bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        5,000
    "
"
        Exec 4bdrm Furnished Unfurnished Houses 4rent at East Airport
    ","
            Airport Residential Area
        ","
        14,500
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        24,000
    "
"
        3bedroom Apartment To-Let at Eastlegon
    ","
            East Legon
        ","
        4,000
    "
"
        4bdrm Townhouse in Jubilee House, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        13,000
    "
"
        Furnished 2bdrm Penthouse in East Legon for Rent
    ","
            East Legon
        ","
        23,000
    "
"
        1bdrm Apartment in East Legon, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,400
    "
"
        3bdrm Apartment in Dzorwulu for Rent
    ","
            Dzorwulu
        ","
        3,750
    "
"
        2bdrm Apartment in Tse Addo, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        4,500
    "
"
        3bdrm Townhouse in East Legon for Rent
    ","
            East Legon
        ","
        4,300
    "
"
        2bdrm Apartment in Praemus Properties, a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        4,800
    "
"
        An Executive 5 Bedroom House
    ","
            East Legon
        ","
        23,200
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        22,500
    "
"
        2bdrm Apartment in Spintex, Ecobank, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        2,200
    "
"
        1bdrm Apartment in Sakumono, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        900
    "
"
        3bdrm Duplex in Amascorealty, East Legon for Rent
    ","
            East Legon
        ","
        12,000
    "
"
        4bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        7,982
    "
